MapNo	Lon	Lat	DeltaR	DeltaRErr	Reference	Locality
994	-5.85	54.66	-130	38	Blake, CB. 2:2005	Belfast Lough
995	-5.6	54.5	-239	25	Blake, CB. 2:2005	Strangford Lough
997	143	47	260	35	Yoneda, M, U:2007	Svobodnaya, Sakhalin
998	142.5	47	217	35	Yoneda, M, U:2007	Gulf of Aniva, Sakhalin
999	147	44	328	36	Yoneda, M, U:2007	Shikotan Is., Hokkaido
1000	141	43	-64	36	Yoneda, M, U:2007	Otaru, Hokkaido
1001	141	42	-124	34	Yoneda, M, U:2007	Hakodate, Hokkaido
1002	129	28	-65	30	Yoneda, M, U:2007	Amani-Oshima, Kagoshima
1003	129	28	-141	30	Yoneda, M, U:2007	Amani-Oshima, Kagoshima
1004	129	28	-160	32	Yoneda, M, U:2007	Amani-Oshima, Kagoshima
1005	127	27	-119	31	Yoneda, M, U:2007	Okinawa, Ryukyus
1006	127	27	-165	30	Yoneda, M, U:2007	Okinwa, Ryukyus
1007	124	24	-40	31	Yoneda, M, U:2007	Ishigaki, Ryukyus
1008	121.1	24.9	-105	41	Yoneda, M, U:2007	Keelung, Taiwan
1009	121.1	24.9	-57	53	Yoneda, M, U:2007	Keelung, Taiwan
1010	121.1	24.9	-23	42	Yoneda, M, U:2007	Keelung, Taiwan
1011	121	25	-46	37	Yoneda, M, U:2007	Danshui, Taiwan
1012	121.5	24	-174	59	Yoneda, M, U:2007	Suao, Taiwan
1013	121.5	24	-58	43	Yoneda, M, U:2007	Suao, Taiwan
1014	121.1	24.9	-89	35	Yoneda, M, U:2007	Keelung, Taiwan
1015	121.1	24.9	-68	39	Yoneda, M, U:2007	Keelung, Taiwan
1016	142	27	-144	46	Yoneda, M, U:2007	Chichi Is, Ogasawara
1017	142	27	-116	43	Yoneda, M, U:2007	Chichi Is, Ogasawara
1018	142	27	-181	58	Yoneda, M, U:2007	Chichi Is, Ogasawara
1019	142	27	-207	43	Yoneda, M, U:2007	Chichi Is, Ogasawara
1020	142	27	-193	44	Yoneda, M, U:2007	Chichi Is, Ogasawara
1026	139.6	35.2	-114	40	Shishikura, :2007	
1027	139.6	35.15	-44	40	Shishikura, :2007	
1028	139.6	35.15	-14	40	Shishikura, :2007	
1029	139.6	35.12	46	40	Shishikura, :2007	
1030	139.6	35.15	-94	40	Shishikura, :2007	
1031	139.6	35.15	96	40	Shishikura, :2007	
1032	139.65	35.15	-24	50	Shishikura, :2007	
1033	-17.25	14.75	-26	30	Ndeye, 2008,:2008	Goree
1034	-17.25	14.85	60	31	Ndeye, 2008,:2008	Senegal
1035	-17.25	14.95	-28	31	Ndeye, 2008,:2008	Senegal
1036	-17.25	15.05	-15	40	Ndeye, 2008,:2008	Senegal
1037	-17.25	15.15	-8	31	Ndeye, 2008,:2008	Senegal
1038	-17.25	15.25	-15	50	Ndeye, 2008,:2008	Senegal
1039	-17.25	15.35	-78	60	Ndeye, 2008,:2008	Rufisque
1040	-17.25	15.45	96	40	Ndeye, 2008,:2008	Senegal
1041	-17.25	15.55	54	31	Ndeye, 2008,:2008	Rufisque
1042	-17.25	15.65	25	31	Ndeye, 2008,:2008	Goree
1043	-17.25	15.75	-38	50	Ndeye, 2008,:2008	Senegal
1044	-17.25	15.85	161	39	Ndeye, 2008,:2008	Senegal
1045	-17.25	15.95	76	30	Ndeye, 2008,:2008	Senegal
1046	-17.25	16.05	35	31	Ndeye, 2008,:2008	Senegal
1047	-17	21	-99	31	Ndeye, 2008,:2008	Port Eti�nne
1048	-17	21.1	-71	30	Ndeye, 2008,:2008	El Manghar
1049	-17	21.2	-22	30	Ndeye, 2008,:2008	Mauritania
1050	-17	21.3	-53	31	Ndeye, 2008,:2008	Port Eti�nne
1051	-17	21.4	-130	30	Ndeye, 2008,:2008	El Manghar
1052	6.65	61.16	-107	56	Mangerud, et:2006	Vangsnes
1053	6.66	61.25	-80	69	Mangerud, et:2006	Fj�rlandsfjorden
1054	5.08	60.27	-188	34	Mangerud, et:2006	Skogsv�g
1055	5.08	60.27	-221	31	Mangerud, et:2006	Skogsv�g
1056	5.08	60.27	-205	32	Mangerud, et:2006	Skogsv�g
1057	5.02	61.58	-119	24	Mangerud, et:2006	Flor�
1058	4.88	59.32	-110	22	Mangerud, et:2006	Utsira
1059	22	70.63	-155	20	Mangerud, et:2006	S�r�ya
1060	22	70.63	-93	50	Mangerud, et:2006	S�rv�r
1061	27	71	-164	23	Mangerud, et:2006	Finnmark
1062	27	71	-145	21	Mangerud, et:2006	Finnmark
1064	5.08	60.35	-134	32	Mangerud, et:2006	M�gster
1065	5.23	60.58	-155	23	Mangerud, et:2006	Bild�y
1066	4.95	60.82	-124	21	Mangerud, et:2006	Kilstraumen
1067	10.67	59.88	-94	24	Mangerud, et:2006	Oslo
1068	5.23	60.35	-141	24	Mangerud, et:2006	Bild�y
1069	4.93	60.6	-138	53	Mangerud, et:2006	Toska
1070	31.08	70.38	-141	32	Mangerud, et:2006	Vard�
1071	5.33	61.9	-177	28	Mangerud, et:2006	Rugsund
1072	5.23	60.35	-168	29	Mangerud, et:2006	Bild�y
1073	5.23	60.35	-150	22	Mangerud, et:2006	Bild�y
1074	29.83	70.63	-241	28	Mangerud, et:2006	B�tsfjord
1075	-5	48	-186	23	Mangerud, et:2006	Bretagne
1076	-62.27	-38.79	-104	40	Gomez, et al:2008	Ingeniero White
1077	-62.27	-38.79	-244	40	Gomez, et al:2008	Ingeniero White
1078	-62.27	-38.79	-194	40	Gomez, et al:2008	Ingeniero White
1079	-62.1	-38.9	-384	40	Gomez, et al:2008	Belgrano Port
1080	-62.1	-38.9	-114	40	Gomez, et al:2008	Belgrano Port
1081	-62.07	-38.92	-4	40	Gomez, et al:2008	Parejas Creek
1082	-58.68	-38.58	686	40	Gomez, et al:2008	Quequ�n Port
1083	-58.68	-38.58	226	40	Gomez, et al:2008	Quequ�n Port
1084	-58.68	-38.58	166	40	Gomez, et al:2008	Quequ�n Port
1085	-58.7	-38.57	996	40	Gomez, et al:2008	Quequ�n River
1086	-58.7	-38.57	1236	40	Gomez, et al:2008	Quequ�n River
1087	-57.42	-37.92	36	60	Gomez, et al:2008	Mar del Plata
1088	-57.42	-37.92	106	50	Gomez, et al:2008	Mar del Plata
1089	-57.42	-37.92	686	40	Gomez, et al:2008	Mar del Plata
1090	-57.42	-37.92	906	40	Gomez, et al:2008	Mar del Plata
1091	-57.45	-38.13	1854	40	Gomez, et al:2008	Punta Mogotes
1092	-57.45	-38.13	2324	40	Gomez, et al:2008	Punta Mogotes
1093	-57.45	-38.13	1154	40	Gomez, et al:2008	Punta Mogotes
1095	174.92	-41.45	-177	47	McSaveney et:2006	Turakirae Head
1096	174.92	-41.45	-184	41	McSaveney et:2006	Turakirae Head
1097	174.92	-41.45	-132	43	McSaveney et:2006	Turakirae Head
1098	174.92	-41.45	-161	35	McSaveney et:2006	Turakirae Head
1099	174.92	-41.45	-160	36	McSaveney et:2006	Turakirae Head
1100	174.92	-41.45	-176	48	McSaveney et:2006	Turakirae Head
1101	174.92	-41.45	-131	44	McSaveney et:2006	Turakirae Head
1102	174.92	-41.45	-141	29	McSaveney et:2006	Turakirae Head
1103	174.92	-41.45	-198	45	McSaveney et:2006	Turakirae Head
1104	174.92	-41.45	-196	50	McSaveney et:2006	Turakirae Head
1113	-81	-5.75	-65	47	Jones, et al:2007	Sechura Bay
1114	-81	-5.75	95	54	Jones, et al:2007	Sechura Bay
1115	-81	-5.75	28	32	Jones, et al:2007	Sechura Bay
1116	-81	-5.75	54	32	Jones, et al:2007	Sechura Bay
1117	-77	-12.07	-108	82	Jones, et al:2007	Callao Bay
1123	-79	-8.23	-52	50	Jones, et al:2007	Salaverry
1124	-79	-8.23	-15	49	Jones, et al:2007	Salaverry
1125	-79	-8.23	66	36	Jones, et al:2007	Salaverry
1126	-79	-8.23	13	36	Jones, et al:2007	Salaverry
1220	-4.8333	54.0917	-245	35	Butler, Paul:2009	Isle of Man
1221	-5.7416	-15.9409	197	54	Lewis, C A, :2008	St Helena
1222	-5.7416	-15.9409	130	25	Lewis, C A, :2008	St Helena
1223	-5.7416	-15.9409	166	28	Lewis, C A, :2008	St Helena
1224	143.6378	-3.3906	-86	60	McGregor, et:2008	Muschu Island
1226	-140	-9	-20	39	Burr, GS, et:2009	Marquesas Islands
1283	167	-15	-103	65	Burr, GS, et:2009	Santo Island Vanuatu
1286	152	-4	-187	27	Burr, GS, et:2009	Rabaul Papua NewGuinea
1329	-109	-27	-208	40	Burr, GS, et:2009	Ovahe Easter Island
1330	-109	-27	-204	40	Burr, GS, et:2009	Ovahe Easter Island
1331	-109	-27	-192	36	Burr, GS, et:2009	Ovahe Easter Island
1332	-109	-27	-207	36	Burr, GS, et:2009	Ovahe Easter Island
1333	-109	-27	-231	37	Burr, GS, et:2009	Ovahe Easter Island
1334	-109	-27	-132	37	Burr, GS, et:2009	Ovahe Easter Island
1335	-109	-27	-184	36	Burr, GS, et:2009	Ovahe Easter Island
1336	-109	-27	-252	46	Burr, GS, et:2009	Ovahe Easter Island
1337	-109	-27	-190	36	Burr, GS, et:2009	Ovahe Easter Island
1338	131.9	43.1	-124	40	Kuzmin, Y.V.:2001	Novik Inlet
1339	133.0833	42.7333	-99	30	Kuzmin, Y.V.:2001	Wrangel Inlet
1340	-159.3833	-3.8667	-112	17	Druffel, E R:1987	Fanning Island
1341	-166	-0.5	-125	5	Guilderson, :1999	Nauru Island
1342	-172	-13.8333	-81	40	Phelan, M B,:1999	Upolu (?), Samoa
1343	-172	-13.8333	-131	40	Phelan, M B,:1999	Upolu (?), Samoa
1344	-172	-13.8333	-71	40	Phelan, M B,:1999	Upolu (?), Samoa
1345	-175	-21.8333	-309	68	Spennemann, :1998	Pangaimotu, Tongatapu
1346	-175	-21.8333	-65	74	Spennemann, :1998	Havelu, Tongatapu (lagoon)
1347	-149	-18	-88	42	Broecker, W :1961	Tahiti
1348	-149	-18	-77	42	Broecker, W :1961	Moorea
1349	-181	-18	-96	12	Toggweiler, :1991	Fiji (Viti Levu)
1350	-159.8167	-21.2333	-186	27	Guilderson, :2000	Rarotonga
1351	-149.466	-23.433	-152	17	Petchey F., :2008	Austral Islands
1352	-178.383	-19.033	-147	19	Petchey F., :2008	Kadavu, Tevuki, Fiji
1353	-178.4833	-18.9166	-164	19	Petchey F., :2008	Ono Island, Vabea, Fiji
1354	-178.216	-17.35	-173	19	Petchey F., :2008	Viti Levu, Ellington
1355	-134.9	-23.066	-138	19	Petchey F., :2008	Mangareva, Vaiatekeue Island
1356	-134.966	-23.133	-166	20	Petchey F., :2008	Mangareva Atoll
1357	-134.933	-23.083	-185	19	Petchey F., :2008	Tearia Bank 18m
1358	-166.45	-22.266	-168	17	Petchey F., :2008	Presquile Ducos, Noumea, New Caledonia
1359	-165.333	-20.933	-166	17	Petchey F., :2008	Poindimi�
1360	-165	-21.333	-133	19	Petchey F., :2008	Paines des Gaiacs, New Caledonia
1361	-167	-21.016	-131	19	Petchey F., :2008	�Loyalty Island�
1362	-161.016	-10.4	-145	19	Petchey F., :2008	Manihiki, Northern Cook Is
1363	-158.05	-9.016	-162	20	Petchey F., :2008	Penrhyn atoll, Northern Cook Islands
1364	-170.6	-14.283	-144	19	Petchey F., :2008	Tutuila Island, Faga�itua, Samoa
1365	-170.7	-14.266	-143	20	Petchey F., :2008	Tutuila Island, Pago Pago, Samoa
1366	-171.533	-13.533	-123	17	Petchey F., :2008	Upolu, Fagola, Samoa
1367	-166.333	-10.25	-147	21	Petchey F., :2008	Reef Island, Santa Cruz Islands, Solomon
1368	-166.25	-10.166	-122	19	Petchey F., :2008	Reef Island, Pileni Island, Santa Cruz I
1369	-166.966	-11.666	-115	17	Petchey F., :2008	Vanikoro, Santa Cruz Islands, Solomons
1370	-149.616	-17.55	-132	19	Petchey F., :2008	Tahiti, Outumaoro
1371	-149.333	-17.7	-158	20	Petchey F., :2008	Tahiti, Taravao, under stones
1372	-149.566	-17.533	-151	19	Petchey F., :2008	Tahiti, Papeete
1373	-149.333	-17.7	-133	17	Petchey F., :2008	Tahiti, Taravao
1374	-157.966	-21.9	85	20	Petchey F., :2008	Mangaia Island, reef, Southern Cooks
1375	-157.966	-21.9	-204	30	Petchey F., :2008	Mangaia Island, Sth Cooks
1376	-159.766	-21.233	-138	17	Petchey F., :2008	Rarotonga Island
1377	-174.333	-18.6	-146	17	Petchey F., :2008	Vavau Island, Tonga
1378	-137.9166	-21.533	-211	21	Petchey F., :2008	Marutea Sud Atoll, Tuamotus
1379	-140.9	-18.25	-155	17	Petchey F., :2008	Hao Atoll, on reef, Tuamotus
1380	-179.216	-8.5166	-194	19	Petchey F., :2008	Funafuti Atoll, Tuvalu
1381	-168.116	-16.25	-74	30	Petchey F., :2008	Ambrym Island, Vanuatu
1397	166.8833	-15.6333	-109	10	Burr, GS, Be:1998	Espirtu Santo, Vanuatu
1398	159.5	-9.5	-140	27	Guilderson, :2004	Guadalcanal Island
1399	155	-6	-123	40	Petchey, F.,:2004	Bougainville
1400	154.6167	-5.5	-44	45	Petchey, F.,:2004	Bougainville; Teop Iland
1401	156.65	-7.75	-64	40	Petchey, F.,:2004	Vella Lavella Island
1402	160.6667	-8.5	-14	55	Petchey, F.,:2004	Fauabu, Malaita
1403	159.1667	-9	77	50	Petchey, F.,:2004	Ufa Is.; Russel Islands
1404	168.1667	-16.3333	57	80	Petchey, F.,:2004	Ambrym Island; Vanuatu
1405	165.3333	-21.3333	-146	45	Petchey, F.,:2004	New Caledonia
1406	165.3333	-21.3333	-156	45	Petchey, F.,:2004	New Caledonia
1407	152.4167	-4.1667	-118	68	Petchey, F.,:2004	Duke of York Island;St. Georges Channel
1408	147.6	-6.1167	-333	50	Chappell, J.:1976	Papua New Guinea
1409	150.8	-2.5667	216	50	Petchey, F.,:2004	Kavieng Harbor
1410	150.8	-2.5667	156	110	Petchey, F.,:2004	Kavieng Harbor
1411	150.8	-2.5667	156	60	Petchey, F.,:2004	Kavieng Harbor
1412	150.8	-2.5667	356	60	Petchey, F.,:2004	Kavieng Harbor
1413	150.8	-2.5667	216	50	Petchey, F.,:2004	Kavieng Harbor
1414	150.8	-2.5667	256	80	Petchey, F.,:2004	Kavieng Harbor
1415	150.8	-2.5667	146	50	Petchey, F.,:2004	Kavieng Harbor
1416	150.8	-2.5667	246	50	Petchey, F.,:2004	Kavieng Harbor
1417	-176.5569	-43.9509	81	14	Petchey F., :2008	Waitangi Beach
1418	-176.594	-43.7751	-44	14	Petchey F., :2008	Owenga
1419	-176.594	-43.7751	-79	14	Petchey F., :2008	Owenga
1420	169	-46.5	-176	39	Rafter, T A,:1972	Pounawea
1421	174	-41.6667	-194	46	Higham, T F :1995	Paekakariki
1422	172.5833	-40.5833	-171	46	Higham, T F :1995	Collingwood River mouth
1423	174.5	-37	-97	39	Higham, T F :1995	Muriwai Beach
1424	172.6667	-43.5	-109	35	Higham, T F :1995	Kairaki
1425	174.6	-41	-152	32	Higham, T F :1995	Pauatahanui Inlet
1426	174	-41.55	-181	62	Higham, T F :1995	Makara Beach
1427	174	-41.55	-139	62	Higham, T F :1995	Makara Beach
1428	174	-41.55	-213	44	Higham, T F :1995	Makara Beach
1429	176	-37.3333	-176	57	Higham, T F :1995	East coast
1430	176	-37.3333	-259	61	Higham, T F :1995	East coast
1431	176	-37.3333	-103	58	Higham, T F :1995	East coast
1432	176	-37.3333	-176	59	Higham, T F :1995	East coast
1433	176	-37.3333	-142	65	Higham, T F :1995	East coast
1434	176	-37.3333	-57	57	Higham, T F :1995	East coast
1435	177.6167	-37.7667	-114	31	Sikes, E L, :2000	Awani Bay, East Cape
1437	-81.1345	31.6531	-437	60	Thomas, D.H,:2008	St. Catherines Is, GA
1438	-81.1345	31.6531	-147	90	Thomas, D.H,:2008	St. Catherines Is, GA
1439	-81.1345	31.6531	-337	70	Thomas, D.H,:2008	St. Catherines Is, GA
1440	-81.1345	31.6531	-257	40	Thomas, D.H,:2008	St. Catherines Is, GA
1441	-81.1345	31.6531	-317	60	Thomas, D.H,:2008	St. Catherines Is, GA
1442	-81.1345	31.6531	-257	60	Thomas, D.H,:2008	St. Catherines Is, GA
1443	-81.1345	31.6531	-267	50	Thomas, D.H,:2008	St. Catherines Is, GA
1444	-81.1345	31.6531	-237	60	Thomas, D.H,:2008	St. Catherines Is, GA
1445	-81.1345	31.6531	-297	60	Thomas, D.H,:2008	St. Catherines Is, GA
1446	-76.6756	34.7094	-44	70	Thomas, D.H,:2008	Beaufort, NC
1447	-80.0841	32.591	-93	60	Thomas, D.H,:2008	Kiawah, SC
1448	-79.4723	32.9211	-18	70	Thomas, D.H,:2008	S. Carolina
1449	-81.4307	30.5912	-93	90	Thomas, D.H,:2008	Amelia Island, FL
1450	-81.249	29.8558	107	70	Thomas, D.H,:2008	St. Augustine, FL
1451	162.1667	11.5	26	43	Broecker, W :1961	Off Bogan Island, Eniwetok Atoll
1452	144.8	13.5	-141	50	Southon, J, :2002	Guam
1453	127.8	26.4	-278	7	Konishi,K, T:1982	Okinawa
1454	142	27	-329	60	Southon, J, :2002	Bonin Is.
1455	143	-10	-84	68	Gillespie, R:1979	Torres Strait
1456	143	-10	-101	85	Gillespie, R:1979	Torres Strait
1457	143	-10	-165	84	Gillespie, R:1979	Torres Strait
1458	141	-12	-35	60	Rhodes, E G,:1980	80 km North of Weipa
1459	141	-12	-175	60	Rhodes, E G,:1980	80 km North of Weipa
1460	153	-22.1	-153	6	Druffel, E R:1999	Abraham Reef
1461	152	-23	-153	6	Druffel, E R:1999	Heron Island
1462	151.15	-24.0667	-204	60	Ulm, S., 200:2002	Elliott Heads
1463	151.3833	-23.9167	-144	60	Ulm, S., 200:2002	Port Curtis (16-22 m)
1464	151.3833	-23.9167	-34	60	Ulm, S., 200:2002	Port Curtis (16-22 m)
1465	151.2667	-23.85	-131	50	Ulm, S., 200:2002	Gladstone
1466	151.2667	-23.85	-251	60	Ulm, S., 200:2002	Gladstone
1467	137.8333	-33.75	-84	143	Bowman, G M :1985	Upper Spencer Gulf
1468	137.8333	-33.75	-35	124	Bowman, G M :1985	Upper Spencer Gulf
1469	137.8333	-33.75	-156	183	Bowman, G M :1985	Upper Spencer Gulf
1470	138.1333	-34.25	-160	84	Bowman, G M :1985	Gulf St Vincent
1471	138.15	-35	-43	81	Bowman, G M :1985	Pondalowie Bay
1472	138.15	-35	-123	81	Bowman, G M :1985	Pondalowie Bay
1473	139	-35	-7	86	Gillespie, R:1979	Gulf St. Vincent, Adelaide
1474	150.1167	-36.2167	-123	85	Gillespie, R:1979	Narooma
1475	148.0833	-40.1667	-148	120	Gill, E. D. :1983	Key Island, Furneaux Group
1477	17.89	-32	-16	19	Dewar G, Rei:2012	Paternoster, station no. P17a
1478	18.3	-32.08	-51	28	Dewar G, Rei:2012	Lamberts Bay, station no. B148
1479	18.45	-33.91	35	26	Dewar G, Rei:2012	Table Bay
1480	18.45	-33.91	-53	22	Dewar G, Rei:2012	Table Bay
1481	18.08	-33.42	94	21	Dewar G, Rei:2012	Dassen Island
1482	18.65	-34.14	60	24	Dewar G, Rei:2012	False Bay
1483	18.08	-33.42	-30	20	Dewar G, Rei:2012	Dassen Island
1484	17.27	-30.31	-34	28	Dewar G, Rei:2012	Hondeklip Bay, station no. HB7a
1486	-93.71	27.92	-164	9	Wagner, et a:2009	Flower Garden Banks
1487	-95.883	19.133	-175	10	Wagner, et a:2009	Veracruz
1488	-95.883	19.133	-173	14	Wagner, et a:2009	Veracruz
1489	-66.6	11.92	-165	9	Wagner, et a:2009	Boca de Medio
1490	-65.35	10.883	-156	14	Wagner, et a:2009	Isla Tortugas
1491	34.9227	32.6432	-68	50	Boaretto, E,:2010	Israel
1492	34.8482	32.3384	-213	50	Boaretto, E,:2010	Israel
1493	35.0138	32.8431	-258	50	Boaretto, E,:2010	Israel
1494	34.9227	32.6432	-163	50	Boaretto, E,:2010	Israel
1495	34.8482	32.3384	-93	40	Boaretto, E,:2010	Israel
1497	-67.0012	17.9346	-161	24	Kilbourne, K:2007	La Parguera, Puerto Rico
1538	47.7829	43.9142	-148	35	Kuzmin,Y.V.,:2007	Chechen_Island
1539	47.5027	43.2856	-34	30	Kuzmin,Y.V.,:2007	Sulak_River_Mouth
1540	53.1211	39.4277	-158	30	Kuzmin,Y.V.,:2007	Cheleken_Peninsula
1541	52.7675	41.396	-193	40	Kuzmin,Y.V.,:2007	Garabogaz_Spit
1542	59.001	43.7957	-332	49	Kuzmin,Y.V.,:2007	Muynoq
1543	60.8153	46.1264	-170	48	Kuzmin,Y.V.,:2007	Kuzhetpes_Is.
1544	-1.4333	46.1667	-201	39	Tisnérat-La:2010	Ile de R�
1545	-1.4333	46.1667	-206	40	Tisnérat-La:2010	Ile de R�
1546	-1.5833	48.8333	-330	50	Tisnérat-La:2010	Granville
1547	-1.6167	49.6333	-100	160	Tisnérat-La:2010	Cherbourg
1548	-1.1667	44.7167	-229	40	Tisnérat-La:2010	Arcachon
1549	-1.1667	44.7167	-135	39	Tisnérat-La:2010	Arcachon
1550	-4.5	48.3833	-207	45	Tisnérat-La:2010	Brest
1551	-1.1667	46.1667	-152	60	Tisnérat-La:2010	La Rochelle
1552	-1.1667	44.7167	-151	39	Tisnérat-La:2010	Arcachon
1553	-1.65	43.3833	-85	50	Tisnérat-La:2010	Saint-Jean-de-Luz
1554	-1.6	43.4167	-10	45	Tisnérat-La:2010	Gu�thary
1555	-3.9833	48.7167	-126	140	Tisnérat-La:2010	Roscoff
1556	-1.5833	48.8333	-194	60	Tisnérat-La:2010	Granville
1557	-1.8333	48.8667	-144	50	Tisnérat-La:2010	Iles Chausey
1558	-1.5833	48.8333	-325	50	Tisnérat-La:2010	Granville
1559	-2.0833	47	-114	45	Tisnérat-La:2010	Loire inf�rieure
1560	2.3833	51.0333	-208	60	Tisnérat-La:2010	Dunkerque
1561	2.3833	51.0333	-28	60	Tisnérat-La:2010	Dunkerque
1562	-4.5	48.3833	-27	60	Tisnérat-La:2010	Bretagne
1563	1.1667	49.75	15	50	Tisnérat-La:2010	Tatihou
1564	-4.5167	48.2333	-176	50	Tisnérat-La:2010	Morgat (Finist�re)
1565	0.7333	49.75	-84	45	Tisnérat-La:2010	Saint Vaast
1566	-2	48.65	-217	50	Tisnérat-La:2010	Saint Malo
1567	-2	48.65	-62	60	Tisnérat-La:2010	Saint Malo
1568	-2.55	48.6	-121	45	Tisnérat-La:2010	Val Andr�
1569	-2.5167	47.3	-9	45	Tisnérat-La:2010	Le Croisic
1570	-2	48.65	-143	45	Tisnérat-La:2010	Saint Malo
1571	-2.45	49.4667	-94	45	Tisnérat-La:2010	Ile Herm
1572	-2.75	48.5167	-194	60	Tisnérat-La:2010	Saint Brieuc
1573	-2.55	48.6	-79	45	Tisnérat-La:2010	Val Andr�
1574	-1.2667	45.9167	-173	60	Tisnérat-La:2010	Ile d�Ol�ron
1575	122.236	-17.962	-84	30	O'Connor, S,:2010	Broome
1576	122.283	-18.086	-84	35	O'Connor, S,:2010	Roebuck Bay
1577	122.925	-16.389	-69	30	O'Connor, S,:2010	Cape Leveque NE side
1578	122.176	-17.973	-89	30	O'Connor, S,:2010	Gantheaume Point
1579	122.925	-16.389	-109	30	O'Connor, S,:2010	Cape Leveque NE side
1580	122.236	-17.962	-119	35	O'Connor, S,:2010	Broome
1581	123.006	-16.522	-104	30	O'Connor, S,:2010	Skeleton Point King Sound
1582	153.5	-27.5	-134	23	Ulm, Petchey:2009	Stradbroke Island
1583	153.5	-27.5	-169	23	Ulm, Petchey:2009	Stradbroke Island
1586	142.1797	47.9707	-134	30	Kuzmin, Y.V.:2007	Tomari
1587	141.8062	46.5845	-84	30	Kuzmin, Y.V.:2007	Ostrovki
1588	142.1688	48.0809	56	30	Kuzmin, Y.V.:2007	Ilyinsky
1589	142.773	48.6067	356	30	Kuzmin, Y.V.:2007	Makarov
1590	144.6956	48.6793	546	30	Kuzmin, Y.V.:2007	Davydov Cape
1591	142.795	47.4087	381	30	Kuzmin, Y.V.:2007	Uda River mouth
1592	142.773	48.6067	316	30	Kuzmin, Y.V.:2007	Porechye
1593	145.6404	43.2883	186	25	Kuzmin, Y.V.:2007	Zeleny Island
1594	145.7063	43.3443	226	35	Kuzmin, Y.V.:2007	Zeleny Island
1629	-162.089	5.861	-145	15	Zaunbrecher,:2009	Palymyra atoll
1661	-157.4199	1.8499	-130	15	Zaunbrecher,:2009	Kiritimati
1667	-76.8351	38.2525	-4	40	Rick, Torben:2012	Cobb Island Potomac River MD
1668	-76.3243	38.0344	-15	40	Rick, Torben:2012	Point Lookout MD
1669	-76.3023	37.9391	-20	35	Rick, Torben:2012	Smiths Creek Potomac River VA
1670	-76.2693	37.0807	-75	40	Rick, Torben:2012	Buckroe Beach VA
1671	-76.2693	39.1528	-274	30	Rick, Torben:2012	Swan Point Kent County MD
1672	-76.1512	38.6269	-219	30	Rick, Torben:2012	Town Pt. lower Choptank River MD
1673	-76.3133	38.4679	-244	40	Rick, Torben:2012	Town Pt. Little Choptank River MD
1674	-75.2174	38.2331	-33	40	Rick, Torben:2012	Ocean City Sinepuxant Bay MD
1675	-75.9452	37.1048	-155	40	Rick, Torben:2012	Magothy Bay VA
1676	118.3333	76.6333	-108	40	Bauch,H.A., :2001	Laptev Sea
1677	124.6833	75.7	3	45	Bauch,H.A., :2001	Laptev Sea
1678	134.5667	74.7	-103	60	Bauch,H.A., :2001	Laptev Sea
1679	130.1833	75.6	-118	50	Bauch,H.A., :2001	Laptev Sea
1680	118.3333	76.6333	-153	45	Bauch,H.A., :2001	Laptev Sea
1681	-79.9988	7.6277	-120	25	Toth,Lauren :2012	Isla Iguana
1682	-70.1396	-21.7183	39	33	Ortlieb,Luc :2011	Salitrera Buenaventrura
1683	-70.5901	-23.2611	-64	60	Ortlieb,Luc :2011	Salitrera Prat
1684	-70.5901	-23.2611	191	30	Ortlieb,Luc :2011	Salitrera Prat
1685	-70.5901	-23.2611	-130	32	Ortlieb,Luc :2011	Salitrera Prat
1686	-70.5901	-23.2611	-6	29	Ortlieb,Luc :2011	Salitrera Prat
1687	-70.2275	-20.7762	227	40	Ortlieb,Luc :2011	Salitrera Slavonia
1688	-9.36	38.57	-197	38	Abrantes, F.:2005	Trafaria
1689	-9.42	38.66	-140	33	Abrantes, F.:2005	Cascais
1690	-9.25	38.67	-47	39	Abrantes, F.:2005	Dafundo
1691	113.835	-28.682	-86	30	Peter Squire:2013	East Indian Ocean
1692	10.42	54.79	-299	50	Lougheed et al. (2013)	Fehmarn sound
1693	11.82	54.52	-226	50	Lougheed et al. (2013)	Fehmarn sound
1694	12.3667	54.7667	-214	50	Lougheed et al. (2013)	Arkona Basin
1695	12.7833	55.3167	96	50	Lougheed et al. (2013)	Arkona Basin
1696	13.4	55	-154	50	Lougheed et al. (2013)	Arkona Basin
1697	13.8167	55.1667	-224	45	Lougheed et al. (2013)	Arkona Basin
1698	14.2167	55.1833	-314	50	Lougheed et al. (2013)	Arkona Basin
1699	14.5667	55.0833	-204	45	Lougheed et al. (2013)	Arkona Basin
1700	14.56	55.27	-266	50	Lougheed et al. (2013)	Bornholm Basin
1701	15.04	55.3	-361	45	Lougheed et al. (2013)	Bornholm Basin
1702	15.7833	55.2833	-144	50	Lougheed et al. (2013)	Bornholm Basin
1703	16.0333	55.7833	-264	50	Lougheed et al. (2013)	Bornholm Basin
1704	15.85	56.0833	-361	50	Lougheed et al. (2013)	Bornholm Basin
1705	16.9667	55.4	-244	60	Lougheed et al. (2013)	South Gotland Basin
1706	16.9	55.8333	-154	45	Lougheed et al. (2013)	South Gotland Basin
1707	17.7167	55.1667	-339	50	Lougheed et al. (2013)	South Gotland Basin
1708	18.75	54.69	-119	50	Lougheed et al. (2013)	Gdansk Bay
